Seed,Stronghold Seed,Location
774195569,3449386450,"-2316,-604"
-1589165989,2697224738,"-2492,-1484"
-780313502,2905167325,"-620,-604"
1741453422,2783345743,"212,-3100"
1380508022,1938142252,"164,-3068"
-766379027,2537499593,"-3148,1684"
-1797346357,2851475621,"2980,644"
-458317964,3921203679,"2932,-2780"
-1252513065,2972139569,"-2812,1508"
-1148926566,4061076252,"2724,1348"
-1849331972,3694592759,"100,-3148"
1321173994,1460927482,"2996,-620"
859477251,99674413,"2692,-1884"
-534368030,889355280,"2004,-3020"
344661396,1167209268,"2804,-2988"
1904621873,1482694437,"-3196,-316"
386321294,3139607200,"-3004,-3164"
-604932813,2141085613,"-2460,-3132"
884201353,3527808968,"-2828,2820"
1673011836,2715315102,"980,-2988"
-1142398750,374874168,"2596,-2492"
1147963777,1365129300,"276,-2844"
1103203221,1020452620,"2708,-348"
797063244,2486035358,"2740,-2828"
-803390516,2547953771,"-1084,-2764"
1361102083,2521499299,"1060,-3036"
695762675,2345045245,"-2876,-2972"
1506761235,903125220,"2756,-1516"
1482447350,2463758693,"-2780,-2764"
1282154072,2918406033,"-2156,-2972"
-2139285181,3380128365,"-1884,-2876"
-807703414,962386929,"2644,420"
2085492233,2810062732,"2932,-1628"
465596084,374874168,"2644,-1676"
1075695408,4249174359,"2756,2260"
604910092,2786626657,"-2908,2708"
656257225,2156633257,"-236,-2828"
1249603223,1803835648,"2852,2964"
2061744035,2783345743,"2708,2068"
131990947,1974594829,"196,2788"
264156058,3603804589,"-3132,884"
-340577764,2752111907,"1476,2996"
1500224197,4061076252,"740,-3116"
-958594119,886804197,"644,2628"
-899051094,4249174359,"1076,2948"
1533383525,3915215437,"-1116,2724"
387414081,401200881,"2804,2644"
298991854,2470961764,"2836,2132"
-838473533,2842698246,"1076,2660"
-564892638,343795143,"2964,2564"
1362704513,1796403545,"292,2980"
-865115134,3139607200,"2916,-2364"
895610872,2622634394,"996,2756"
-546281513,3126626288,"-3692,-284"
-979608514,897109831,"1012,-3580"
-1105868296,257791329,"-2444,3428"
-731641732,1525487214,"-2908,-3580"
-1492404765,403585984,"-3516,-1612"
-433929244,922885111,"-3148,3620"
862089743,903125220,"3556,2324"
-1128139960,3236568688,"-3500,-620"
-785882138,470269338,"852,3284"
-663556446,3752551599,"-3836,1972"
1745148351,2470961764,"-3628,-1500"
-512370270,922885111,"1060,3508"
1576863167,1851321387,"-3484,-860"
-141812500,2715315102,"3204,-284"
1190073282,1988781485,"3636,1988"
-1418799137,2786626657,"3332,868"
-960442300,1727569366,"3380,3348"
-821637731,3774650239,"3620,-3580"
-793115538,374874168,"84,3540"
772384596,2198460579,"-428,-3420"
-1725080018,2746320468,"-972,3508"
-1106078493,99674413,"2788,3268"
1849997236,2622634394,"-2860,3284"
1676389176,2624527239,"-3628,2212"
-1094985454,1518457214,"-3788,2868"
2043785381,2260723908,"3380,-1756"
2100298410,889355280,"-1164,-3532"
-2075553008,4249174359,"2212,-3628"
1214443697,3630201793,"148,-3756"
-846443296,1460927482,"2628,3236"
319829702,4018987072,"3220,-1612"
2098585222,3150228515,"-3404,2308"
849546718,2198460579,"3460,-204"
24277550,1270379033,"-1180,-3596"
163931670,3004338420,"4724,1428"
-586552540,1068341878,"-2524,-4284"
-575504256,3954531583,"3876,4244"
-1483536837,135690917,"-2156,-4972"
-1692763663,2345045245,"-4860,-2236"
-105000480,935644684,"-3468,-4908"
302578381,1482694437,"-332,4628"
-621876634,4232312206,"3300,4068"
-359971916,1938142252,"3892,1332"
-187669470,1460927482,"-2380,-4172"
-1717402239,3528033525,"-988,-4252"
-725423500,3380128365,"-4284,2644"
1799167021,3898581978,"4164,116"
1760736984,438730053,"-4156,3860"
965458336,962386929,"-2236,4596"
-1808127190,257791329,"436,3940"
-1382263092,1592209739,"3972,2644"
964875666,3150228515,"4068,1556"
1416817664,4232312206,"-3740,3972"
813073780,2486035358,"3844,36"
-712987369,2838891414,"-2796,4196"
2027514292,1525487214,"4100,-2460"
-260668130,4259515654,"-2828,4724"
-810070620,2537499593,"-220,4564"
-1890688049,1518457214,"4260,3636"
511517086,3357924277,"-4812,-540"
1281166935,2407125674,"4052,3332"
1492906566,3527808968,"4100,-1116"
-51356321,3898581978,"4804,-844"
1432099409,1727569366,"-4716,3524"
778886672,1851321387,"1940,-5020"
1302342058,99674413,"3252,-4412"
1295703864,374874168,"180,3924"
-213915764,3059730970,"4260,4548"
1404272776,1048229359,"2340,-4172"
-147074538,2425033926,"-4460,1044"
-118946794,3503720374,"1588,-4876"
-423096889,2786626657,"-4460,180"
-271910171,1796403545,"4212,-1772"
-1216626701,1068341878,"-4204,4"
2120419534,3936473789,"916,-4220"
-3069843,3752551599,"4740,2852"
-610575846,2694509759,"4548,-4716"
1879358584,401200881,"-4188,-4876"
-128227767,2783345743,"-3004,3940"
875455116,2786626657,"1316,3988"
1672116662,3527808968,"1940,4692"
377949402,273514613,"3972,-5100"
11340165,2838891414,"-364,3876"
187994540,3571982813,"-4924,3444"
1324418177,3694592759,"4068,644"
1059419553,3145755799,"-1516,-4972"
-1574646261,1068341878,"4004,-2124"
1721944719,1938142252,"-4860,-1612"
-1647714819,3130877723,"-3132,4708"
1792005511,2851475621,"-3820,4724"
-1455626591,3576917795,"-4124,-2236"
-367097518,1836315345,"2308,-4972"
-582435127,374874168,"-1132,4708"
1265656013,2971588887,"-4892,-1724"
-678824277,2547953771,"-4908,2100"
1523700019,2407125674,"-4396,-1564"
15465281,2752111907,"724,4660"
712558604,2494267334,"-4972,116"
-209189717,3126626288,"1060,4244"
-894880545,1109650131,"4516,-3484"
354548878,1001439820,"-588,4276"
-637249745,3737785819,"-4092,836"
-928973094,4259515654,"-4332,-1068"
1317993243,2697224738,"4836,212"
-1035339907,3150228515,"4500,2132"
1167008,2407125674,"-428,3956"
147255173,2537499593,"-4108,148"
-1214451661,1693283794,"-2124,4868"
691214309,3887981839,"3892,4820"
-30889363,2156633257,"2932,3956"
1841302704,1592209739,"1492,-4764"
764628158,3316723168,"-1612,4180"
-518969361,928570448,"4756,-4348"
2015848944,1482694437,"6148,-3628"
229938816,2624527239,"-5644,-4156"
-1303924834,639761397,"36,-5708"
-1698712144,328361896,"-5612,6036"
703479522,343795143,"-5756,5236"
1899539542,403585984,"-5324,-2124"
-33455380,3004338420,"-5596,420"
-836127788,1177172004,"-6364,996"
-1591143759,147430197,"5444,388"
-1093611931,844507943,"-6012,3236"
1416987581,3815376674,"5460,-1148"
72070867,1460927482,"1668,-5388"
1923113610,3345818081,"-6108,-4780"
-787798226,2471853506,"-6316,1460"
1860596211,3409069794,"1700,-6348"
6320865,1931350606,"5796,6100"
721040460,3915215437,"-2124,5124"
1279717522,3630201793,"5268,932"
1709527349,3936473789,"-5564,2756"
1140950355,4016441406,"5908,-988"
-1378937806,1727569366,"884,5780"
1457429912,3150228515,"5188,372"
-1788033577,1068341878,"1620,5892"
1013921238,3603804589,"-5340,1684"
1825999288,2494267334,"5972,2996"
-2446259,897109831,"3860,5940"
65746939,2842698246,"4852,5412"
-2047180403,3145755799,"5988,-956"
1698243113,2537499593,"-1084,-5436"
-1578986078,2537499593,"5172,4164"
767325963,2547953771,"-4412,5188"
-699765803,2058865618,"-4204,-6364"
-588851284,2242471255,"-1084,6068"
2090416061,1938142252,"420,5844"
1006402555,935644684,"6132,4004"
-1551580350,2067111155,"6068,932"
1612384224,1235173182,"-1084,5348"
2033763304,1939184840,"5172,-3116"
1949364649,328361896,"-6140,-1868"
300456982,4164917266,"2068,5332"
-1841652459,1931350606,"5252,-300"
1857041000,2972139569,"-6092,228"
1785578057,1020452620,"-6380,-4124"
-32863143,1109650131,"-524,5460"
412922623,2905167325,"1668,-6364"
209732441,1617281787,"-6044,2820"
661494957,3150228515,"-1644,5524"
486069086,2470961764,"-5468,4100"
920099935,2810062732,"5780,2756"
-1417073705,374874168,"-5564,1556"
